date,sg_gdp,hk_gdp_growth,us_gdp_growth,sti_close,sg_cpi,iip,rsi,total_tourists,total_nodx,hk_gdp_growth_lag1,hk_gdp_growth_lag2,hk_gdp_growth_lag3,hk_gdp_growth_lag4,us_gdp_growth_lag1,us_gdp_growth_lag2,us_gdp_growth_lag3,us_gdp_growth_lag4,sti_close_lag1,sti_close_lag2,sti_close_lag3,sti_close_lag4,sg_cpi_lag1,sg_cpi_lag2,sg_cpi_lag3,sg_cpi_lag4,iip_lag1,iip_lag2,iip_lag3,iip_lag4,rsi_lag1,rsi_lag2,rsi_lag3,rsi_lag4,total_tourists_lag1,total_tourists_lag2,total_tourists_lag3,total_tourists_lag4,total_nodx_lag1,total_nodx_lag2,total_nodx_lag3,total_nodx_lag4,sg_gdp_lag1,sg_gdp_lag2,sg_gdp_lag3,sg_gdp_lag4,hk_gdp_growth_qoq_pct,us_gdp_growth_qoq_pct,sti_close_qoq_pct,sg_cpi_qoq_pct,iip_qoq_pct,rsi_qoq_pct,total_tourists_qoq_pct,total_nodx_qoq_pct,sg_gdp_qoq_pct,hk_gdp_growth_rollmean2,hk_gdp_growth_rollstd2,hk_gdp_growth_rollmean4,hk_gdp_growth_rollstd4,us_gdp_growth_rollmean2,us_gdp_growth_rollstd2,us_gdp_growth_rollmean4,us_gdp_growth_rollstd4,sti_close_rollmean2,sti_close_rollstd2,sti_close_rollmean4,sti_close_rollstd4,sg_cpi_rollmean2,sg_cpi_rollstd2,sg_cpi_rollmean4,sg_cpi_rollstd4,iip_rollmean2,iip_rollstd2,iip_rollmean4,iip_rollstd4,rsi_rollmean2,rsi_rollstd2,rsi_rollmean4,rsi_rollstd4,total_tourists_rollmean2,total_tourists_rollstd2,total_tourists_rollmean4,total_tourists_rollstd4,total_nodx_rollmean2,total_nodx_rollstd2,total_nodx_rollmean4,total_nodx_rollstd4,sg_gdp_rollmean2,sg_gdp_rollstd2,sg_gdp_rollmean4,sg_gdp_rollstd4,year,quarter_2,quarter_3,quarter_4
1997-03-31,41566.8,1.5,1.2456,2161.7333170572915,62.7,31.366666666666664,49.219,1898974.0,20542470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,False,False,False
1997-06-30,42937.1,1.9,1.86747,2019.2666829427085,63.0,32.7,46.121,1881027.0,22565660.0,1.5,,,,1.2456,,,,2161.7333170572915,,,,62.7,,,,31.366666666666664,,,,49.219,,,,1898974.0,,,,20542470.0,,,,41566.8,,,,0.2666666666666666,0.49925337186897867,-0.0659038897122236,0.004784688995215225,0.0425079702444211,-0.06294317235214042,-0.009450892955880419,0.09848815648751108,0.032966213420325685,1.7,0.28284271247461895,,,1.556535,0.4397284940164783,,,2090.5,100.7391230752444,,,62.85,0.21213203435596223,,,32.03333333333333,0.9428090415820688,,,47.67,2.1906168081159234,,,1890000.5,12690.445401954968,,,21554065.0,1430611.368628811,,,42251.95,968.9484222599256,,,1997,True,False,False
1997-09-30,43615.3,0.5,1.69035,1909.13330078125,63.6,35.96666666666667,48.71,1824733.0,23597897.0,1.9,1.5,,,1.86747,1.2456,,,2019.2666829427085,2161.7333170572915,,,63.0,62.7,,,32.7,31.366666666666664,,,46.121,49.219,,,1881027.0,1898974.0,,,22565660.0,20542470.0,,,42937.1,41566.8,,,-0.736842105263158,-0.09484489710678079,-0.054541276341448564,0.00952380952380949,0.09989806320081551,0.056134949372303344,-0.02992726845494509,0.04574370968985608,0.015795198092092955,1.2,0.9899494936611665,,,1.77891,0.12524275308376126,,,1964.1999918619792,77.87606136137684,,,63.3,0.42426406871193206,,,34.333333333333336,2.3098821518760553,,,47.4155,1.8306994564919705,,,1852880.0,39805.86914011551,,,23081778.5,729901.7824916582,,,43276.2,479.5598190007403,,,1997,False,True,False
1997-12-31,43258.7,-2.7,1.18996,1592.1666666666667,63.8,35.9,46.53,1603523.0,24917677.0,0.5,1.9,1.5,,1.69035,1.86747,1.2456,,1909.13330078125,2019.2666829427085,2161.7333170572915,,63.6,63.0,62.7,,35.96666666666667,32.7,31.366666666666664,,48.71,46.121,49.219,,1824733.0,1881027.0,1898974.0,,23597897.0,22565660.0,20542470.0,,43615.3,42937.1,41566.8,,-6.4,-0.29602744993640373,-0.1660264550332211,0.0031446540880502027,-0.001853568118628468,-0.04475467049887083,-0.12122869482822962,0.055927865097470386,-0.008176029971134091,-1.1,2.2627416997969525,0.29999999999999993,2.0848661028149187,1.4401549999999999,0.3538291622379365,1.498345,0.3327163601327714,1750.6499837239585,224.12925639229718,1920.5749918619792,242.12966777586968,63.7,0.14142135623733418,63.275,0.5123475382979785,35.93333333333334,0.047140452079155126,33.983333333333334,2.316686650593267,47.620000000000005,1.5414927829866758,47.645,1.5467710453285137,1714128.0,156419.0910662762,1802064.25,136087.1236999176,24257787.0,933225.3876743817,22905926.0,1846408.3302034435,43437.0,252.1542781711735,42844.475,895.6908558016364,1997,False,False,True
1998-03-31,42144.3,-2.4,1.14732,1501.5,63.4,33.46666666666667,44.427,1523466.0,22750082.0,-2.7,0.5,1.9,1.5,1.18996,1.69035,1.86747,1.2456,1592.1666666666667,1909.13330078125,2019.2666829427085,2161.7333170572915,63.8,63.6,63.0,62.7,35.9,35.96666666666667,32.7,31.366666666666664,46.53,48.71,46.121,49.219,1603523.0,1824733.0,1881027.0,1898974.0,24917677.0,23597897.0,22565660.0,20542470.0,43258.7,43615.3,42937.1,41566.8,-0.11111111111111116,-0.03583313724831083,-0.056945462158484283,-0.006269592476489061,-0.06778087279480027,-0.04519664732430695,-0.0499256948606287,-0.08699025194041965,-0.025761291948209086,-2.55,0.21213203435596428,-0.675,2.24258035902098,1.16864,0.030151033149791555,1.473775,0.3601038298879922,1546.8333333333335,64.11101482758137,1755.5166625976562,247.90443777576235,63.599999999999994,0.28284271247462933,63.449999999999996,0.3415650255319883,34.68333333333334,1.7206265008872699,34.50833333333333,1.6751727384672028,45.4785,1.4870455608353232,46.447,1.7620758591313017,1563494.5,56608.84758145144,1708187.25,171787.6949927342,23833879.5,1532721.1233660544,23457829.0,1072014.7026818248,42701.5,787.9997969542994,42988.85,627.4821086426846,1998,False,False,False
1998-06-30,41830.6,-1.7,1.16415,1271.6633707682292,63.1,32.666666666666664,45.438,1603639.0,22528224.0,-2.4,-2.7,0.5,1.9,1.14732,1.18996,1.69035,1.86747,1501.5,1592.1666666666667,1909.13330078125,2019.2666829427085,63.4,63.8,63.6,63.0,33.46666666666667,35.9,35.96666666666667,32.7,44.427,46.53,48.71,46.121,1523466.0,1603523.0,1824733.0,1881027.0,22750082.0,24917677.0,23597897.0,22565660.0,42144.3,43258.7,43615.3,42937.1,-0.29166666666666663,0.01466896768120507,-0.15307134813970746,-0.004731861198738141,-0.02390438247011961,0.02275643189952059,0.05262539498748242,-0.009751964850060801,-0.007443473969196424,-2.05,0.4949747468305828,-1.575,1.4453949863849211,1.155735,0.011900607127362484,1.2979450000000001,0.26219041229610207,1386.5816853841147,162.519039094844,1568.6158345540366,264.06570362654355,63.25,0.21213203435596814,63.475,0.2986078811194832,33.06666666666666,0.5656854249492814,34.5,1.6872067646458386,44.932500000000005,0.7148849557796334,46.276250000000005,1.8357484168589058,1563552.5,56690.87196806908,1638840.25,129555.35266794915,22639153.0,156877.29626048505,23448470.0,1082511.914674692,41987.45,221.81939725827348,42712.225,859.0655441621843,1998,True,False,False
1998-09-30,41485.7,-1.6,1.68788,953.4266560872396,63.0,34.43333333333333,43.028,1547340.0,23928547.0,-1.7,-2.4,-2.7,0.5,1.16415,1.14732,1.18996,1.69035,1271.6633707682292,1501.5,1592.1666666666667,1909.13330078125,63.1,63.4,63.8,63.6,32.666666666666664,33.46666666666667,35.9,35.96666666666667,45.438,44.427,46.53,48.71,1603639.0,1523466.0,1603523.0,1824733.0,22528224.0,22750082.0,24917677.0,23597897.0,41830.6,42144.3,43258.7,43615.3,-0.05882352941176461,0.4498818880728428,-0.25025232462954283,-0.0015847860538827918,0.054081632653061096,-0.05303930630749598,-0.03510702845216407,0.06215860602238332,-0.008245160241545646,-1.65,0.07071067811865038,-2.1,0.5354126134736333,1.426015,0.37033303451083033,1.2973275,0.2609581906966452,1112.5450134277344,225.02733897345706,1329.689173380534,284.8121429493042,63.05,0.07071067811867096,63.324999999999996,0.3593976442141264,33.55,1.2492219800962514,34.11666666666667,1.3911093361721047,44.233000000000004,1.7041273426595984,44.85575,1.490707298566681,1575489.5,39809.40467402144,1569492.0,40551.32694088662,23228385.5,990177.8891514898,23531132.5,1110001.3931242013,41658.149999999994,243.8811288312773,42179.825,767.8977595791424,1998,False,True,False
1998-12-31,42225.7,-0.9,1.89554,1337.9666748046875,62.9,34.9,46.338,1575771.0,23237865.0,-1.6,-1.7,-2.4,-2.7,1.68788,1.16415,1.14732,1.18996,953.4266560872396,1271.6633707682292,1501.5,1592.1666666666667,63.0,63.1,63.4,63.8,34.43333333333333,32.666666666666664,33.46666666666667,35.9,43.028,45.438,44.427,46.53,1547340.0,1603639.0,1523466.0,1603523.0,23928547.0,22528224.0,22750082.0,24917677.0,41485.7,41830.6,42144.3,43258.7,-0.4375,0.12303007322795456,0.40332417419034483,-0.0015873015873015817,0.013552758954501476,0.07692665241238261,0.018374112993912117,-0.028864351855547254,0.017837471707118358,-1.25,0.49497474683058257,-1.65,0.613731754650732,1.7917100000000001,0.14683779418119777,1.4737225,0.376902800411901,1145.6966654459634,271.9108548727098,1266.139175415039,229.76331582487376,62.95,0.07071067811866091,63.1,0.21602468994690804,34.666666666666664,0.3299831645537918,33.86666666666666,0.9981464302878147,44.683,2.3405234457274817,44.80775,1.4202535865119204,1561555.5,20103.75289591473,1562554.0,34746.72096759649,23583206.0,488385.925843487,23111179.5,620313.7285419919,41855.7,523.2590180780621,41921.575,336.82928786948787,1998,False,False,True
1999-03-31,42973.1,1.0,1.26631,1452.7867024739585,62.9,35.666666666666664,47.041,1663386.0,22020229.0,-0.9,-1.6,-1.7,-2.4,1.89554,1.68788,1.16415,1.14732,1337.9666748046875,953.4266560872396,1271.6633707682292,1501.5,62.9,63.0,63.1,63.4,34.9,34.43333333333333,32.666666666666664,33.46666666666667,46.338,43.028,45.438,44.427,1575771.0,1547340.0,1603639.0,1523466.0,23237865.0,23928547.0,22528224.0,22750082.0,42225.7,41485.7,41830.6,42144.3,-2.111111111111111,-0.3319528999651814,0.08581680682445403,0.0,0.021967526265520565,0.015171133842634354,0.05560135324231763,-0.05239878964784417,0.01770012101634788,0.04999999999999999,1.3435028842544399,-0.8,1.2516655570345725,1.5809250000000001,0.44493279992601115,1.50347,0.3459811464034805,1395.3766886393228,81.19002018096884,1253.9608510335288,213.87136255660334,62.9,0.0,62.975,0.09574271077556908,35.28333333333333,0.5421151989097274,34.416666666666664,1.272646702596459,46.689499999999995,0.4970960671741176,45.46125,1.7498139663023142,1619578.5,61953.16063365936,1597534.0,49554.087399527525,22629047.0,860998.6726168629,22928716.25,832862.0542032062,42599.399999999994,528.491608258846,42128.775,638.9399939222261,1999,False,False,False
1999-06-30,44059.2,2.2,1.21687,1985.9166259765625,63.1,37.5,49.984,1729937.0,24846578.0,1.0,-0.9,-1.6,-1.7,1.26631,1.89554,1.68788,1.16415,1452.7867024739585,1337.9666748046875,953.4266560872396,1271.6633707682292,62.9,62.9,63.0,63.1,35.666666666666664,34.9,34.43333333333333,32.666666666666664,47.041,46.338,43.028,45.438,1663386.0,1575771.0,1547340.0,1603639.0,22020229.0,23237865.0,23928547.0,22528224.0,42973.1,42225.7,41485.7,41830.6,1.2000000000000002,-0.03904257251383958,0.3669705419210778,0.0031796502384737746,0.05140186915887868,0.06256244552624324,0.04000935441322695,0.12835238906916002,0.025273950448071014,1.6,0.8485281374238566,0.175,1.7404501333467348,1.24159,0.03495935926186389,1.5166499999999998,0.32935062825708,1719.3516642252603,376.9797841621563,1432.524164835612,426.2742967812427,63.0,0.14142135623732163,62.975,0.09574271077556908,36.58333333333333,1.2963624321753586,35.625,1.349451191602915,48.5125,2.081015257031989,46.59775,2.8562063855167454,1696661.5,47058.66339474593,1629108.5,83411.25007455537,23433403.5,1998530.5438998174,23508304.75,1190950.0320428717,43516.149999999994,767.9886750467301,42685.924999999996,1098.5901279215454,1999,True,False,False
