Data Series,Total (Index)
  2025 Mar,125.7
  2025 Feb,112.6
  2025 Jan,127.1
  2024 Dec,133.4
  2024 Nov,130.2
  2024 Oct,133.5
  2024 Sep,136.6
  2024 Aug,132.2
  2024 Jul,125.5
  2024 Jun,118
  2024 May,115.3
  2024 Apr,117.2
  2024 Mar,117.8
  2024 Feb,111.6
  2024 Jan,120.9
  2023 Dec,127
  2023 Nov,117.5
  2023 Oct,131.9
  2023 Sep,125
  2023 Aug,107.7
  2023 Jul,121.8
  2023 Jun,122.1
  2023 May,112.2
  2023 Apr,118.5
  2023 Mar,128.6
  2023 Feb,106.3
  2023 Jan,119.3
  2022 Dec,129
  2022 Nov,117.3
  2022 Oct,123.6
  2022 Sep,126.6
  2022 Aug,123.6
  2022 Jul,122.5
  2022 Jun,131
  2022 May,125.9
  2022 Apr,127.5
  2022 Mar,134.2
  2022 Feb,117.3
  2022 Jan,122.9
  2021 Dec,133.7
  2021 Nov,121.9
  2021 Oct,124.4
  2021 Sep,125.2
  2021 Aug,122.4
  2021 Jul,120.3
  2021 Jun,126.8
  2021 May,113.3
  2021 Apr,121
  2021 Mar,128.6
  2021 Feb,103
  2021 Jan,121.5
  2020 Dec,114.5
  2020 Nov,106.7
  2020 Oct,106.2
  2020 Sep,127.7
  2020 Aug,109.9
  2020 Jul,103.3
  2020 Jun,98.8
  2020 May,89
  2020 Apr,117.7
  2020 Mar,117.7
  2020 Feb,88.1
  2020 Jan,110.8
  2019 Dec,97.8
  2019 Nov,89.4
  2019 Oct,106.7
  2019 Sep,101.4
  2019 Aug,94.4
  2019 Jul,111.2
  2019 Jun,105.1
  2019 May,96.6
  2019 Apr,105.1
  2019 Mar,96.8
  2019 Feb,88.6
  2019 Jan,106.9
  2018 Dec,101.6
  2018 Nov,101.9
  2018 Oct,102.6
  2018 Sep,102.9
  2018 Aug,101.9
  2018 Jul,106.2
  2018 Jun,108.5
  2018 May,99
  2018 Apr,100.8
  2018 Mar,105
  2018 Feb,85.1
  2018 Jan,102.2
  2017 Dec,99.8
  2017 Nov,95.4
  2017 Oct,97.6
  2017 Sep,102.4
  2017 Aug,98.6
  2017 Jul,99.5
  2017 Jun,100.2
  2017 May,87.6
  2017 Apr,91
  2017 Mar,98.4
  2017 Feb,80.9
  2017 Jan,86.4
  2016 Dec,102.2
  2016 Nov,89.9
  2016 Oct,84.6
  2016 Sep,89.3
  2016 Aug,81.8
  2016 Jul,80.7
  2016 Jun,88.1
  2016 May,83.5
  2016 Apr,85.3
  2016 Mar,88.5
  2016 Feb,73.5
  2016 Jan,83.1
  2015 Dec,83.5
  2015 Nov,80.5
  2015 Oct,83.6
  2015 Sep,82.8
  2015 Aug,81
  2015 Jul,83.5
  2015 Jun,87.1
  2015 May,83.1
  2015 Apr,82.6
  2015 Mar,87.9
  2015 Feb,76
  2015 Jan,82
  2014 Dec,94.8
  2014 Nov,82.8
  2014 Oct,86.4
  2014 Sep,88.4
  2014 Aug,85
  2014 Jul,88.9
  2014 Jun,89.5
  2014 May,84.1
  2014 Apr,90.4
  2014 Mar,98.1
  2014 Feb,78.6
  2014 Jan,80.3
  2013 Dec,96.5
  2013 Nov,84.4
  2013 Oct,86.2
  2013 Sep,89.4
  2013 Aug,81.9
  2013 Jul,86.6
  2013 Jun,88.9
  2013 May,85.8
  2013 Apr,85.9
  2013 Mar,87.4
  2013 Feb,69.5
  2013 Jan,77.6
  2012 Dec,90.7
  2012 Nov,79.1
  2012 Oct,79.5
  2012 Sep,81.9
  2012 Aug,79.1
  2012 Jul,84.1
  2012 Jun,93.2
  2012 May,83.6
  2012 Apr,81.7
  2012 Mar,90.7
  2012 Feb,82.3
  2012 Jan,77.5
  2011 Dec,89.3
  2011 Nov,76.9
  2011 Oct,83.7
  2011 Sep,84.9
  2011 Aug,81.4
  2011 Jul,82.3
  2011 Jun,86.5
  2011 May,78.6
  2011 Apr,83.3
  2011 Mar,93.9
  2011 Feb,73.3
  2011 Jan,86
  2010 Dec,71.3
  2010 Nov,78.7
  2010 Oct,78.5
  2010 Sep,79
  2010 Aug,71.2
  2010 Jul,78.1
  2010 Jun,76.3
  2010 May,92.4
  2010 Apr,89.5
  2010 Mar,78.2
  2010 Feb,66
  2010 Jan,68.5
  2009 Dec,65.6
  2009 Nov,55.8
  2009 Oct,60.6
  2009 Sep,62.7
  2009 Aug,66.6
  2009 Jul,71.5
  2009 Jun,59.5
  2009 May,58.2
  2009 Apr,60
