Date,Open,High,Low,Close,Volume
1950-06-30,17.34,19.4,17.34,17.69,82822222
1950-09-30,17.64,19.45,16.68,19.45,67811110
1950-12-31,19.69,20.43,19,20.41,92044447
1951-03-31,20.77,22.21,20.69,21.4,90616664
1951-06-30,21.32,22.81,20.96,20.96,65183333
1951-09-30,21.1,23.71,21.1,23.26,54466664
1951-12-31,23.47,23.85,22.3,23.77,61433337
1952-03-31,23.8,24.66,23.09,24.37,58211113
1952-06-30,24.18,24.96,23.17,24.96,46755556
1952-09-30,25.12,25.55,24.45,24.54,38383333
1952-12-31,24.48,26.59,23.8,26.57,53683336
1953-03-31,26.54,26.66,25.29,25.29,59300003
1953-06-30,25.25,25.25,23.54,24.14,47877776
1953-09-30,24.24,24.84,22.71,23.35,40711116
1953-12-31,23.49,24.99,23.39,24.81,49166665
1954-03-31,24.95,26.94,24.8,26.94,61516667
1954-06-30,27.17,29.43,27.01,29.21,70905555
1954-09-30,29.21,32.69,29.21,32.31,83311109
1954-12-31,32.29,35.98,31.68,35.98,102033334
1955-03-31,36.75,37.52,34.58,36.58,111799996
1955-06-30,36.95,41.03,36.83,41.03,87422222
1955-09-30,41.19,45.63,41.19,43.67,83527779
1955-12-31,42.49,46.41,40.8,45.48,77500001
1956-03-31,45.16,48.87,43.11,48.48,85466669
1956-06-30,48.7,48.85,44.1,46.97,80272223
1956-09-30,46.93,49.64,45.35,45.35,70733329
1956-12-31,44.7,47.6,44.38,46.67,72322220
1957-03-31,46.2,46.66,42.39,44.11,67383334
1957-06-30,44.14,48.24,44.14,47.37,80177775
1957-09-30,47.43,49.13,42.42,42.42,70283331
1957-12-31,42.76,43.14,38.98,39.99,92555552
1958-03-31,40.33,42.58,40.33,42.1,75944442
1958-06-30,41.93,45.34,41.33,45.24,89433331
1958-09-30,45.28,50.06,45.11,50.06,113149998
1958-12-31,49.98,55.21,49.98,55.21,136283332
1959-03-31,55.44,56.67,53.58,55.44,128588889
1959-06-30,55.69,58.68,55.69,58.47,117277779
1959-09-30,58.97,60.71,55.14,56.88,99694445
1959-12-31,56.94,59.89,56,59.89,110022222
1960-03-31,59.91,60.39,53.47,55.34,105627779
1960-06-30,55.43,58,54.13,56.92,112538890
1960-09-30,57.06,58.07,52.48,53.52,100016666
1960-12-31,53.36,58.11,52.2,58.11,107616668
1961-03-31,57.57,65.06,57.57,65.06,164883332
1961-06-30,65.6,68.68,64.4,64.64,150994443
1961-09-30,65.21,68.46,64.41,66.73,114527780
1961-12-31,66.77,72.64,66.73,71.55,135072226
1962-03-31,71.55,71.96,67.55,69.55,119644445
1962-06-30,69.55,69.82,51.35,54.75,153572223
1962-09-30,54.75,60.33,54.47,56.27,120805556
1962-12-31,56.27,63.5,52.55,63.1,141988889
1963-03-31,63.1,67.01,62.32,66.57,142138890
1963-06-30,66.57,71.24,66.23,69.37,167744443
1963-09-30,69.37,73.87,67.54,71.7,152544446
1963-12-31,71.7,75.36,69.48,75.02,175005553
1964-03-31,75.02,79.89,74.82,78.98,176938887
1964-06-30,78.98,82.1,78.15,81.69,177105554
1964-09-30,81.69,84.8,80.8,84.18,163688888
1964-12-31,84.18,86.8,82.65,84.75,168999998
1965-03-31,84.75,88.19,83.77,86.16,192355554
1965-06-30,86.16,90.68,80.73,84.12,198594450
1965-09-30,84.12,91.13,83.3,89.96,194111113
1965-12-31,89.96,93.3,89.2,92.43,279027779
1966-03-31,92.43,94.72,86.69,89.23,300033335
1966-06-30,89.23,93.02,83.18,84.74,276611111
1966-09-30,84.74,88.19,73.91,76.56,223483336
1966-12-31,76.56,83.88,72.28,80.33,253922222
1967-03-31,80.33,91.72,79.43,90.2,341666668
1967-06-30,90.2,95.25,87.19,90.64,343699998
1967-09-30,90.64,98.31,90.12,96.71,349716666
1967-12-31,96.71,98.25,90.09,96.47,369816664
1968-03-31,96.47,97.84,86.73,90.2,349866669
1968-06-30,91.11,102.84,91.11,99.58,469272220
1968-09-30,99.58,103.67,95.79,102.67,369288889
1968-12-31,102.67,109.37,101.8,103.86,439738891
1969-03-31,103.86,104.87,96.63,101.51,373999999
1969-06-30,101.51,106.74,95.21,97.71,404800002
1969-09-30,97.71,100.33,88.04,93.12,360600004
1969-12-31,93.12,99.23,88.62,92.06,442255552
1970-03-31,92.06,94.25,84.42,89.63,367972221
1970-06-30,89.63,90.7,68.61,72.72,393200000
1970-09-30,72.72,84.99,70.69,84.3,416511111
1970-12-31,84.3,92.99,82.23,92.15,459388892
1971-03-31,92.15,102.03,90.64,100.31,616422220
1971-06-30,100.31,105.6,96.92,98.7,562516671
1971-09-30,99.16,102.25,92.81,98.34,465822222
1971-12-31,98.34,102.21,89.34,102.09,518983338
1972-03-31,102.09,109.75,100.87,107.2,644111111
1972-06-30,107.2,111.48,103.83,107.14,565750007
1972-09-30,107.14,113.45,104.43,110.55,495566665
1972-12-31,110.55,119.79,106.27,118.05,593111110
1973-03-31,118.06,121.74,107.41,111.52,586300000
1973-06-30,111.52,113.65,101.36,104.26,491083336
1973-09-30,104.1,111.04,99.74,108.43,506283333
1973-12-31,108.43,112.82,91.05,97.55,670655556
1974-03-31,97.55,101.05,89.53,93.98,516422224
1974-06-30,93.98,95.42,85.13,86,430422219
1974-09-30,86,86.89,62.52,63.54,463466667
1974-12-31,63.54,77.41,60.96,68.56,543911112
1975-03-31,68.65,87.08,68.65,83.36,727666668
1975-06-30,83.36,95.85,79.66,95.19,753244447
1975-09-30,95.19,96.58,81.57,83.87,554594444
1975-12-31,83.87,92.33,82.57,90.19,574066664
1976-03-31,90.19,104.39,89.81,102.77,978644443
1976-06-30,102.77,105.07,97.97,104.28,647444448
1976-09-30,104.28,108.72,100.43,105.24,641772224
1976-12-31,105.24,107.82,98.18,107.46,709422221
1977-03-31,107.46,107.97,97.8,98.42,741527775
1977-06-30,98.42,102.07,95.52,100.48,730016667
1977-09-30,100.48,102.57,94.44,96.53,705444447
1977-12-31,96.53,97.27,90.01,95.1,755066668
1978-03-31,95.1,95.15,86.45,89.21,719066668
1978-06-30,89.2,101.84,88.07,95.53,1187577777
1978-09-30,95.53,108.05,93.59,102.54,1154850000
1978-12-31,102.54,106.23,91.65,96.11,938550002
1979-03-31,96.11,103.31,95.22,101.59,967355559
1979-06-30,101.56,103.95,97.49,102.91,1100055555
1979-09-30,102.91,111.58,100.35,109.32,1233183333
1979-12-31,109.19,112.16,99.06,107.94,1234327778
1980-03-31,107.94,120.22,94.23,102.09,1661788888
1980-06-30,102.09,117.98,98.95,114.24,1260399998
1980-09-30,114.24,132.17,113.54,125.46,1691744442
1980-12-31,125.46,141.96,124.66,135.76,1691972220
1981-03-31,135.76,140.32,124.66,136,1636866668
1981-06-30,136,137.72,128.77,131.21,1738816670
1981-09-30,131.21,135.18,110.19,116.18,1574255560
1981-12-31,116.18,127.32,115,122.55,1636083335
1982-03-31,122.55,123.72,104.46,111.96,1782900000
1982-06-30,111.96,119.92,107.01,109.61,1818599998
1982-09-30,109.52,126.43,102.2,120.42,2425555553
1982-12-31,120.4,144.36,120.15,140.64,3115377776
1983-03-31,140.65,155.02,138.08,152.96,2986094446
1983-06-30,152.92,171.6,150.17,167.64,3174366661
1983-09-30,168.11,170.72,158.5,166.07,2798005555
1983-12-31,165.99,172.65,161.58,164.93,3032272224
1984-03-31,164.93,169.54,152.13,159.18,3335216668
1984-06-30,159.18,162.11,148.53,153.18,3038861111
1984-09-30,153.16,169.65,147.26,166.1,3309877779
1984-12-31,166.1,170.41,160.02,167.24,3138061108
1985-03-31,167.2,183.95,163.36,180.66,3900788886
1985-06-30,180.66,191.85,177.86,191.85,3582899995
1985-09-30,191.85,196.07,179.45,182.08,3470238888
1985-12-31,182.06,213.08,181.16,211.28,4329438884
1986-03-31,211.28,240.11,202.6,238.9,4995950000
1986-06-30,238.9,251.81,226.3,250.84,4761244445
1986-09-30,250.67,254.24,228.08,231.32,4943388889
1986-12-31,231.32,254.87,231.32,242.17,5121355555
1987-03-31,242.17,302.72,242.17,291.7,6384044444
1987-06-30,291.59,310.27,275.67,304,6080222222
1987-09-30,303.99,337.89,302.53,321.83,6528888891
1987-12-31,321.83,328.94,216.46,247.08,7561544447
1988-03-31,247.1,272.64,240.17,258.89,6244950001
1988-06-30,258.89,276.88,248.85,273.5,5999355554
1988-09-30,273.5,276.36,256.53,271.91,5402994447
1988-12-31,271.89,283.95,262.85,277.72,5046044448
1989-03-31,277.72,300.57,273.81,294.87,5696127777
1989-06-30,294.87,329.19,294.35,317.98,6083977774
1989-09-30,317.98,354.13,317.26,349.15,5685083337
1989-12-31,349.15,360.44,327.12,353.4,5699027783
1990-03-31,353.4,360.59,319.83,339.94,5576944445
1990-06-30,339.94,368.78,327.76,358.02,5346766669
1990-09-30,358.02,369.78,295.98,306.05,5600861112
1990-12-31,306.1,333.98,294.51,330.22,5521388885
1991-03-31,330.2,379.66,309.35,375.22,6606294446
1991-06-30,375.22,391.26,365.83,371.16,6119794443
1991-09-30,371.18,397.62,370.92,387.86,5809099998
1991-12-31,387.86,418.32,371.36,417.09,6652950000
1992-03-31,417.03,421.18,401.94,403.69,7566738889
1992-06-30,403.67,418.75,392.41,408.14,6788694443
1992-09-30,408.2,425.27,407.2,417.8,6634938886
1992-12-31,417.8,442.65,396.8,435.71,7517738885
1993-03-31,435.7,456.76,426.88,451.67,9161250000
1993-06-30,451.67,455.63,432.3,450.53,9170116668
1993-09-30,450.54,463.8,441.4,458.93,9093027777
1993-12-31,458.93,471.29,454.36,466.45,9782377778
1994-03-31,466.51,482.85,436.16,445.77,10947500002
1994-06-30,445.66,463.23,435.86,444.27,9590916670
1994-09-30,444.27,477.59,443.58,462.71,9739844444
1994-12-31,462.69,474.74,442.88,459.27,10526372223
1995-03-31,459.21,508.15,457.2,500.71,11652533331
1995-06-30,500.7,551.07,500.2,544.75,11899094444
1995-09-30,544.75,587.61,542.51,584.41,11948561111
1995-12-31,584.41,622.88,571.55,615.93,12968338892
1996-03-31,615.93,664.23,597.29,645.5,14956783334
1996-06-30,645.5,681.1,624.14,670.63,14293088891
1996-09-30,670.63,690.88,605.88,687.33,13496805554
1996-12-31,687.31,762.12,684.44,740.74,15309272222
1997-03-31,740.74,817.68,729.55,757.12,17484733330
1997-06-30,757.12,902.09,733.54,885.14,17455266663
1997-09-30,885.14,964.17,884.54,947.28,18859566671
1997-12-31,947.28,986.25,855.27,970.43,20083200003
1998-03-31,970.43,1113.07,912.83,1101.75,21172205556
1998-06-30,1101.75,1145.15,1074.39,1133.84,21491761112
1998-09-30,1133.84,1190.58,939.98,1017.01,25544683338
