Date,Open,High,Low,Close,Volume
1987-12-31,824.4,824.4,810.9,823.2,0
1988-03-31,833.6,969.5,833.6,925.8,0
1988-06-30,926.8,1093.2,926.8,1093.2,0
1988-09-30,1105.4,1177.9,1020.2,1035,0
1988-12-31,1023.1,1044.5,991.2,1038.6,0
1989-03-31,1034.2,1194.6,1030.7,1189.8,0
1989-06-30,1187.3,1315.3,1186.7,1307.7,0
1989-09-30,1298.1,1420.5,1298.1,1375.3,0
1989-12-31,1388.3,1484.6,1285,1481.3,0
1990-03-31,1499.5,1607.1,1489.5,1581.1,0
1990-06-30,1549.2,1578.6,1458.4,1527,0
1990-09-30,1524.4,1575.9,1098.7,1098.7,0
1990-12-31,1103.4,1211,1079.5,1154.8,0
1991-03-31,1153.5,1512.9,1149.1,1490.8,0
1991-06-30,1480.5,1565.6,1460.2,1489.9,0
1991-09-30,1498.3,1511.7,1309.2,1360.6,0
1991-12-31,1357,1491.4,1336,1477,0
1992-03-31,1479.4,1545.9,1414.3,1414.3,0
1992-06-30,1394.1,1528.2,1352.8,1481.1,0
1992-09-30,1480.8,1496.9,1269.4,1351,0
1992-12-31,1351,1527,1326,1524.4,0
1993-03-31,1524.1,1681,1524.1,1668.3,0
1993-06-30,1668.6,1911.1,1661.7,1802.8,0
1993-09-30,1804.2,2055.6,1762.2,2009,0
1993-12-31,2015.3,2439.8,2000.4,2425.7,0
1994-03-31,2427.4,2482.9,1990.4,2080.9,0
1994-06-30,2080.9,2362.7,2037,2224.9,0
1994-09-30,2224.9,2362.2,2143.6,2332.6,0
1994-12-31,2334.4,2395.4,2078.3,2239.6,0
1995-03-31,2239.6,2248.2,1903.8,2093.1,0
1995-06-30,2093.1,2218.9,2029,2093.2,0
1995-09-30,2094.8,2190.8,2045.1,2120,0
1995-12-31,2120,2287.6,2060.1,2266.5,0
1996-03-31,2266.5,2504,2255.8,2387.3,0
1996-06-30,2387.3,2417.4,2267.6,2296.2,0
1996-09-30,2301.9,2301.9,2083.2,2177.2,0
1996-12-31,2175.7,2221.2,2035,2216.8,0
1997-03-31,2216.8,2278.9,2065.6,2073,0
1997-06-30,2072.5,2118.8,1968.7,1988,0
1997-09-30,1987.1,2009.6,1735.7,1954.7,0
1997-12-31,1954.8,1954.8,1486.7,1529.8,0
1998-03-31,1530.2,1700.5,1031.3,1629.2,0
1998-06-30,1629.5,1629.5,1031.61,1066.66,0
1998-09-30,1070.01,1137.55,800.27,939.65,0
1998-12-31,938.08,1452.91,881.62,1392.73,0
1999-03-31,1399.57,1581.1,1280.33,1518.31,0
1999-06-30,1519.58,2213.34,1513.54,2167.7,0
1999-09-30,2184.49,2247.43,1936.61,2021.93,0
1999-12-31,2021.14,2497,1978.76,2479.58,0
2000-03-31,2502.28,2582.94,2015.2,2132.59,0
2000-06-30,2135.76,2194.13,1782.43,2037.97,0
2000-09-30,2044.13,2221.13,1915.26,1997.03,0
2000-12-31,1970.93,2069.47,1796.66,1926.83,0
2001-03-31,1922.81,2000.33,1622.27,1674.19,0
2001-06-30,1666.9,1754.35,1558.04,1726.5,0
2001-09-30,1728.06,1728.11,1197.85,1319.53,0
2001-12-31,1329.54,1650.99,1318.34,1623.6,0
2002-03-31,1622.31,1848.99,1606.09,1803.22,0
2002-06-30,1806.62,1808.16,1520.1,1552.98,0
2002-09-30,1551.46,1665.15,1326.36,1352.3,0
2002-12-31,1345.69,1485.92,1325.09,1341.03,0
2003-03-31,1338.02,1406.31,1205.31,1267.82,0
2003-06-30,1260.03,1523.27,1225.07,1447.89,0
2003-09-30,1448.96,1647.36,1442.39,1630.8,0
2003-12-31,1621.06,1804.95,1621.02,1764.52,0
2004-03-31,1768.78,1912.93,1768.77,1858.92,0
2004-06-30,1856.8,1906.27,1690.35,1838,0
2004-09-30,1840.31,2007.98,1830.28,1984.74,0
2004-12-31,1986.96,2076.59,1932.18,2066.14,0
2005-03-31,2065.15,2191.29,2061.99,2142.75,0
2005-06-30,2141.38,2230.56,2107.67,2212.66,0
2005-09-30,2212.91,2399.75,2207.95,2305.14,0
2005-12-31,2302.03,2356.02,2190.07,2347.34,0
2006-03-31,2354.59,2541.29,2352.18,2533.39,0
2006-06-30,2542.77,2666.33,2277.9,2435.38,0
2006-09-30,2435.35,2576.26,2319.03,2568.86,0
2006-12-31,2571.45,2991.35,2569.8,2985.83,0
2007-03-31,3015.74,3316.22,2931.62,3231.24,0
2007-06-30,3240.07,3652.02,3231.12,3548.2,0
2007-09-30,3553.48,3726.53,2962.01,3706.23,0
2007-12-31,3734.93,3906.15,3300.86,3482.3,0
2008-03-31,3462.68,3474.89,2745.96,3007.36,14111417488
2008-06-30,3007.36,3269.87,2922.87,2947.54,13792703488
2008-09-30,2960.43,2997.82,2239.75,2358.91,14676339200
2008-12-31,2371.07,2398.67,1473.77,1761.56,23255014552
