Data Series,CPI
  2025 1Q,100.4
  2024 4Q,100.4
  2024 3Q,100.3
  2024 2Q,99.9
  2024 1Q,99.4
  2023 4Q,99
  2023 3Q,98.2
  2023 2Q,97.2
  2023 1Q,96.3
  2022 4Q,95.2
  2022 3Q,94.3
  2022 2Q,92.5
  2022 1Q,90.7
  2021 4Q,89.2
  2021 3Q,87.8
  2021 2Q,87.3
  2021 1Q,86.7
  2020 4Q,86
  2020 3Q,85.7
  2020 2Q,85.4
  2020 1Q,86.1
  2019 4Q,86.1
  2019 3Q,85.9
  2019 2Q,86
  2019 1Q,85.7
  2018 4Q,85.6
  2018 3Q,85.6
  2018 2Q,85.3
  2018 1Q,85.3
  2017 4Q,85.2
  2017 3Q,85
  2017 2Q,85
  2017 1Q,85.1
  2016 4Q,84.8
  2016 3Q,84.7
  2016 2Q,84.4
  2016 1Q,84.6
  2015 4Q,84.8
  2015 3Q,85
  2015 2Q,85.2
  2015 1Q,85.3
  2014 4Q,85.4
  2014 3Q,85.5
  2014 2Q,85.5
  2014 1Q,85.6
  2013 4Q,85.4
  2013 3Q,84.6
  2013 2Q,83.7
  2013 1Q,84.7
  2012 4Q,83.7
  2012 3Q,83.1
  2012 2Q,82.4
  2012 1Q,81.5
  2011 4Q,80.5
  2011 3Q,79.8
  2011 2Q,78.2
  2011 1Q,77.7
  2010 4Q,76.3
  2010 3Q,75.6
  2010 2Q,74.7
  2010 1Q,73.8
  2009 4Q,73.4
  2009 3Q,73.1
  2009 2Q,72.5
  2009 1Q,73.2
  2008 4Q,73.9
  2008 3Q,73.4
  2008 2Q,72.4
  2008 1Q,70.8
  2007 4Q,69.9
  2007 3Q,68.8
  2007 2Q,67.3
  2007 1Q,66.4
  2006 4Q,67
  2006 3Q,66.7
  2006 2Q,66.5
  2006 1Q,66.5
  2005 4Q,66.6
  2005 3Q,66.2
  2005 2Q,65.7
  2005 1Q,65.6
  2004 4Q,65.9
  2004 3Q,65.9
  2004 2Q,65.7
  2004 1Q,65.4
  2003 4Q,64.8
  2003 3Q,64.7
  2003 2Q,64.5
  2003 1Q,64.6
  2002 4Q,64.4
  2002 3Q,64.4
  2002 2Q,64.4
  2002 1Q,64.2
  2001 4Q,64.3
  2001 3Q,64.7
  2001 2Q,64.7
  2001 1Q,64.7
  2000 4Q,64.4
  2000 3Q,64.1
  2000 2Q,63.6
  2000 1Q,63.6
  1999 4Q,63.2
  1999 3Q,63.2
  1999 2Q,63.1
  1999 1Q,62.9
  1998 4Q,62.9
  1998 3Q,63
  1998 2Q,63.1
  1998 1Q,63.4
  1997 4Q,63.8
  1997 3Q,63.6
  1997 2Q,63
  1997 1Q,62.7
  1996 4Q,62.3
  1996 3Q,62.1
  1996 2Q,61.9
  1996 1Q,61.6
  1995 4Q,61.3
  1995 3Q,61.3
  1995 2Q,61.2
  1995 1Q,60.8
  1994 4Q,60.8
  1994 3Q,60.4
  1994 2Q,59.9
  1994 1Q,59.3
  1993 4Q,58.8
  1993 3Q,58.4
  1993 2Q,58.1
  1993 1Q,57.9
  1992 4Q,57.5
  1992 3Q,57.2
  1992 2Q,56.9
  1992 1Q,56.4
  1991 4Q,56.2
  1991 3Q,55.9
  1991 2Q,55.6
  1991 1Q,55.2
  1990 4Q,54.8
  1990 3Q,54
  1990 2Q,53.6
  1990 1Q,53.2
  1989 4Q,52.8
  1989 3Q,52.4
  1989 2Q,51.9
  1989 1Q,51.3
